threshold,accuracy,precision,recall,f1,n_positive_preds,n_total,model,auc_roc
0.7,0.5524861878453039,1.0,0.012195121951219513,0.024096385542168676,1,181,2M_h8,0.7129834934712983
0.75,0.5469613259668509,0.0,0.0,0.0,0,181,2M_h8,0.7129834934712983
0.8,0.5469613259668509,0.0,0.0,0.0,0,181,2M_h8,0.7129834934712983
0.3,0.569060773480663,0.5144927536231884,0.8658536585365854,0.6454545454545455,138,181,20M_h2,0.6292190194629219
0.4,0.5524861878453039,0.5052631578947369,0.5853658536585366,0.5423728813559322,95,181,20M_h2,0.6292190194629219
0.45,0.5580110497237569,0.5135135135135135,0.4634146341463415,0.48717948717948717,74,181,20M_h2,0.6292190194629219
0.5,0.6243093922651933,0.64,0.3902439024390244,0.48484848484848486,50,181,20M_h2,0.6292190194629219
0.55,0.6022099447513812,0.65625,0.25609756097560976,0.3684210526315789,32,181,20M_h2,0.6292190194629219
0.6,0.585635359116022,0.7058823529411765,0.14634146341463414,0.24242424242424243,17,181,20M_h2,0.6292190194629219
0.65,0.56353591160221,0.6666666666666666,0.07317073170731707,0.13186813186813187,9,181,20M_h2,0.6292190194629219
0.7,0.5580110497237569,0.75,0.036585365853658534,0.06976744186046512,4,181,20M_h2,0.6292190194629219
0.75,0.56353591160221,1.0,0.036585365853658534,0.07058823529411765,3,181,20M_h2,0.6292190194629219
0.8,0.5580110497237569,1.0,0.024390243902439025,0.047619047619047616,2,181,20M_h2,0.6292190194629219
0.3,0.4530386740331492,0.4530386740331492,1.0,0.0,181,181,20M_h4,0.7123675782212368
0.4,0.4861878453038674,0.4658385093167702,0.9146341463414634,0.6172839506172839,161,181,20M_h4,0.7123675782212368
0.45,0.5469613259668509,0.5,0.8902439024390244,0.6403508771929824,146,181,20M_h4,0.7123675782212368
0.5,0.6022099447513812,0.5390625,0.8414634146341463,0.6571428571428571,128,181,20M_h4,0.7123675782212368
0.55,0.6464088397790055,0.5957446808510638,0.6829268292682927,0.6363636363636364,94,181,20M_h4,0.7123675782212368
0.6,0.6629834254143646,0.6666666666666666,0.5121951219512195,0.5793103448275863,63,181,20M_h4,0.7123675782212368
0.65,0.6353591160220995,0.7352941176470589,0.3048780487804878,0.43103448275862066,34,181,20M_h4,0.7123675782212368
0.7,0.585635359116022,0.6842105263157895,0.15853658536585366,0.25742574257425743,19,181,20M_h4,0.7123675782212368
0.75,0.569060773480663,1.0,0.04878048780487805,0.09302325581395349,4,181,20M_h4,0.7123675782212368
0.8,0.5469613259668509,0.0,0.0,0.0,0,181,20M_h4,0.7123675782212368
0.3,0.585635359116022,0.5263157894736842,0.8536585365853658,0.6511627906976745,133,181,20M_h8,0.696969696969697
0.4,0.6298342541436464,0.5862068965517241,0.6219512195121951,0.6035502958579881,87,181,20M_h8,0.696969696969697
0.45,0.6519337016574586,0.6507936507936508,0.5,0.5655172413793104,63,181,20M_h8,0.696969696969697
0.5,0.6298342541436464,0.7142857142857143,0.3048780487804878,0.42735042735042733,35,181,20M_h8,0.696969696969697
0.55,0.6132596685082873,0.8,0.1951219512195122,0.3137254901960784,20,181,20M_h8,0.696969696969697
0.6,0.580110497237569,0.8,0.0975609756097561,0.17391304347826086,10,181,20M_h8,0.696969696969697
0.65,0.569060773480663,1.0,0.04878048780487805,0.09302325581395349,4,181,20M_h8,0.696969696969697
0.7,0.5524861878453039,1.0,0.012195121951219513,0.024096385542168676,1,181,20M_h8,0.696969696969697
0.75,0.5469613259668509,0.0,0.0,0.0,0,181,20M_h8,0.696969696969697
0.8,0.5469613259668509,0.0,0.0,0.0,0,181,20M_h8,0.696969696969697
